1BCF,A18-25;A47-54;A92-99;A123-130,A19-25;A47-50;A52-53;A92-93;A95-99;A123-126;A128-129
5TPN,A163-181,A163-168;A170-171;A179
5IUS,A119-140;A63-82,A63;A65;A67;A69;A71-72;A76;A79-80;A82;A119-123;A125;A127;A129-130;A133;A135;A137-138;A140
3IXT,P254-277,P255;P258-259;P262-263;P268;P271-272;P275-276
5YUI,A93-97;A118-120;A198-200,A93;A95;A97;A118;A120
1YCR,B19-27,B20-22;B24-25
2KL8,A1-7;A28-79,
7MRX,B25-46,B25-46
4JHW,F63-69;F196-212,F63;F69;F196;F198;F203;F211-212
4ZYP,A422-436,A422-427;A430-431;A433-43
5WN9,A170-189,A170-175;A188-189
5TRV,A45-65,A45-65
6E6R,A23-35,A23-35
6EXZ,A556-570,A556-570
7A8S,A41-55;A72-86,
7AD5,A99-113,
7AHO,A199-213,
7BNY,A83-97;A111-125,
7CG5,A95-109,
7DGW,A22-36;A70-84,
7KUW,A2-16;A30-44,
7KWW,B14-28,
7MQQ,A80-94;A115-129,
7S5L,A27-41;A77-91,
7WRK,A80-94,
6CPA,A69-72;A127;A196;A248;A270,A70-71
1MPY,A153;A199;A214;A246;A255;A265,
1B73,A7-8;A70;A178-180,A179
2RKX,A9-11;A48-50;A101;A128;A169;A176;A201;A222-224,A10;A49;A223
3B5V,A51-53;A81;A110;A131;A159;A180-184;A210-211;A231-233,A52;A181;A183;A232
4XOJ,A55;A99;A190-192,A191
